                      n                     f1                     f2                  delta                   frac
                      0       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      1       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      2      0.693147180559945      0.693147180559945       0.00000000000000       0.00000000000000
                      3       1.09861228866811       1.09861228866811       0.00000000000000       0.00000000000000
                      4       2.07944154167984       2.07944154167984       0.00000000000000       0.00000000000000
                      5       2.70805020110221       2.70805020110221       0.00000000000000       0.00000000000000
                      6       3.87120101090789       3.87120101090789       0.00000000000000       0.00000000000000
                      7       4.65396035015752       4.65396035015752       0.00000000000000       0.00000000000000
                      8       5.95064255258773       5.95064255258773       0.00000000000000       0.00000000000000
                      9       6.85118492749374       6.85118492749374       0.00000000000000       0.00000000000000
                     10       8.25322764558177       8.25322764558177       0.00000000000000       0.00000000000000
                     11       9.24908020029211       9.24908020029211       0.00000000000000       0.00000000000000
                     12       10.7381342953698       10.7381342953698       0.00000000000000       0.00000000000000
                     13       11.8140295577536       11.8140295577536       0.00000000000000       0.00000000000000
                     14       13.3771916249850       13.3771916249850       0.00000000000000       0.00000000000000
                     15       14.5220797588559       14.5220797588559       0.00000000000000       0.00000000000000
                     16       16.1497803472248       16.1497803472248       0.00000000000000       0.00000000000000
                     17       17.3552931029121       17.3552931029121       0.00000000000000       0.00000000000000
                     18       19.0401521051210       19.0401521051210       0.00000000000000       0.00000000000000
                     19       20.2997320820785       20.2997320820785       0.00000000000000       0.00000000000000
                     20       22.0358843786750       22.0358843786750       0.00000000000000       0.00000000000000
                     21       23.3442545198019       23.3442545198019       0.00000000000000       0.00000000000000
                     22       25.1269268320333       25.1269268320333       0.00000000000000       0.00000000000000
                     23       26.4797487357311       26.4797487357311       0.00000000000000       0.00000000000000
                     24       28.3049806623812       28.3049806623812       0.00000000000000       0.00000000000000
                     25       29.6986245605993       29.6986245605993       0.00000000000000       0.00000000000000
                     26       31.5630772004027       31.5630772004027       0.00000000000000       0.00000000000000
                     27       32.9944614266036       32.9944614266036       0.00000000000000       0.00000000000000
                     28       34.8952817105779       34.8952817105779       0.00000000000000       0.00000000000000
                     29       36.3617572565901       36.3617572565901       0.00000000000000       0.00000000000000
                     30       38.2964790922401       38.2964790922401       0.00000000000000       0.00000000000000
                     31       39.7957444610752       39.7957444610752       0.00000000000000       0.00000000000000
                     32       41.7622149950398       41.7622149950398       0.00000000000000       0.00000000000000
                     33       43.2922520225417       43.2922520225417       0.00000000000000       0.00000000000000
                     34       45.2885755196560       45.2885755196560       0.00000000000000       0.00000000000000
