  n =                       0
                      k                     f1                     f2                  delta                   frac
                      0       1.00000000000000       1.00000000000000       0.00000000000000       0.00000000000000
                      1       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      2       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      3       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      4       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      5       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      6       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      7       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      8       0.00000000000000       0.00000000000000       0.00000000000000                      -
                      9       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     10       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     11       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     12       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     13       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     14       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     15       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     16       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     17       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     18       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     19       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     20       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     21       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     22       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     23       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     24       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     25       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     26       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     27       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     28       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     29       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     30       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     31       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     32       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     33       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     34       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     35       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     36       0.00000000000000       0.00000000000000       0.00000000000000                      -
                     37       0.00000000000000       0.00000000000000       0.00000000000000                      -
