

Print Kelvin functions computed by series expansions
                      x                 ber(x)                 bei(x)                 ker(x)                 kei(x)                ber'(x)                bei'(x)                ker'(x)                kei'(x)
  0.000000000000000e+00  1.000000000000000e+00  0.000000000000000e+00                    inf -7.853981633974483e-01  0.000000000000000e+00  0.000000000000000e+00                   -inf  0.000000000000000e+00
  1.000000000000000e-01  9.999984375000678e-01  2.499999565972230e-03  2.420473981038171e+00 -7.768506465366610e-01 -6.249999457465286e-05  4.999997395833402e-02 -9.960959394547498e+00  1.459748114285962e-01
  2.000000000000000e-01  9.999750000173611e-01  9.999972222229168e-03  1.733142753740298e+00 -7.581249330289003e-01 -4.999993055556716e-04  9.999916666701389e-02 -4.922948520314370e+00  2.229268146501462e-01
  3.000000000000000e-01  9.998734379449461e-01  2.249968359415046e-02  1.337218637529977e+00 -7.331019122948635e-01 -1.687488134775637e-03  1.499936718883484e-01 -3.219865253553937e+00  2.742920987316977e-01
  4.000000000000000e-01  9.996000044444366e-01  3.999822222933333e-02  1.062623902758522e+00 -7.038002120188943e-01 -3.999911111348150e-03  1.999733335111109e-01 -2.352069934295681e+00  3.095140025477275e-01
  5.000000000000000e-01  9.990234639908382e-01  6.249321838219946e-02  8.559058721186341e-01 -6.715816950943675e-01 -7.812076147507734e-03  2.499186211162102e-01 -1.819799753317353e+00  3.332037916033298e-01
  6.000000000000001e-01  9.979751139052248e-01  8.997975041006064e-02  6.931206956251799e-01 -6.374494946680870e-01 -1.349848127050306e-02  2.997975068343312e-01 -1.456538550745297e+00  3.481644251101693e-01
  7.000000000000001e-01  9.962488284440701e-01  1.224489389816138e-01  5.613782741893036e-01 -6.021754516183127e-01 -2.143303210501857e-02  3.495623450745486e-01 -1.190943319596515e+00  3.563094756288267e-01
  8.000000000000000e-01  9.936011377454146e-01  1.598862295038944e-01  4.528820936210822e-01 -5.663676507239712e-01 -3.198862270766881e-02  3.991467576870396e-01 -9.873351336409247e-01  3.590424956238216e-01
  9.000000000000000e-01  9.897513566595940e-01  2.022693634894704e-01  3.625148125931238e-01 -5.305111223831840e-01 -4.553655250586122e-02  4.484625283527837e-01 -8.258686530748763e-01  3.574431915683954e-01
  1.000000000000000e+00  9.843817812130869e-01  2.495660400366597e-01  2.867062087283160e-01 -4.949946365187199e-01 -6.244575217903096e-02  4.973965114680973e-01 -6.946038911006907e-01  3.523699133361705e-01
  1.100000000000000e+00  9.771379731639943e-01  3.017312692062659e-01  2.228445133359789e-01 -4.601295283096283e-01 -8.308179145443223e-02  5.458075625111568e-01 -5.859052784663217e-01  3.445209977585600e-01
  1.200000000000000e+00  9.676291558011335e-01  3.587044198731508e-01  1.689455928261560e-01 -4.261636043061006e-01 -1.078056419880863e-01  5.935234988400938e-01 -4.946432457759998e-01  3.344739427309463e-01
  1.300000000000000e+00  9.554287468084007e-01  4.204059656341002e-01  1.234553955570619e-01 -3.932918265292535e-01 -1.369721687821215e-01  6.403381020759297e-01 -4.172273731050196e-01  3.227117729450757e-01
  1.400000000000000e+00  9.400750566527247e-01  4.867339335889082e-01  8.512604832174159e-02 -3.616647814695226e-01 -1.709283239727892e-01  6.860081756659214e-01 -3.510550584539541e-01  3.096415839299580e-01
  1.500000000000000e+00  9.210721835462558e-01  5.575600623030867e-01  5.293491548771045e-02 -3.313955623385586e-01 -2.100110173312884e-01  7.302506739002735e-01 -2.941815969316025e-01  2.956080872607113e-01
  1.600000000000000e+00  8.978911385677053e-01  6.327256770313981e-01  2.602986155897941e-02 -3.025654735968739e-01 -2.545446384767075e-01  7.727399215628535e-01 -2.451146495362923e-01  2.809038356833873e-01
  1.700000000000000e+00  8.699712369877574e-01  7.120372923542193e-01  3.691104415071367e-03 -2.752288337950846e-01 -3.048382066335363e-01  8.131049465284601e-01 -2.026817610828958e-01  2.657771681482439e-01
  1.800000000000000e+00  8.367217942101608e-01  7.952619547756584e-01 -1.469608680203494e-02 -2.494170690216646e-01 -3.611821248040071e-01  8.509269509675146e-01 -1.659424224725158e-01  2.504385416320249e-01
  1.900000000000000e+00  7.975241669915218e-01  8.821223405745094e-01 -2.966140693732955e-02 -2.251422347880100e-01 -4.238445164986483e-01  8.857369503741903e-01 -1.341281881327828e-01  2.350656902129618e-01
  2.000000000000000e+00  7.517341827138083e-01  9.722916273066612e-01 -4.166451399150961e-02 -2.024000677647044e-01 -4.930671247094391e-01  9.170136133840363e-01 -1.066009658810526e-01  2.198079099196055e-01
  2.100000000000000e+00  6.986850014256354e-01  1.065388160849287e+00 -5.110650034423470e-02 -1.811726438301130e-01 -5.690607546531495e-01  9.441813392778269e-01 -8.282337000027717e-02  2.047896763600591e-01
  2.200000000000000e+00  6.376904571095526e-01  1.160969943770222e+00 -5.833883411837104e-02 -1.614307014170402e-01 -6.520002439938249e-01  9.666086141624914e-01 -6.233725697368964e-02  1.901137416828194e-01
  2.300000000000000e+00  5.680489261370959e-01  1.258528975115817e+00 -6.367045393363757e-02 -1.431356766578192e-01 -7.420189468103409e-01  9.836066910572893e-01 -4.474791900743280e-02  1.758638166243445e-01
  2.400000000000000e+00  4.890477721018258e-01  1.357485476450274e+00 -6.737349336152865e-02 -1.262414877404730e-01 -8.392027205462779e-01  9.944286434701106e-01 -2.971225706999703e-02  1.621069153482178e-01
  2.500000000000000e+00  3.999684171295314e-01  1.457182044159804e+00 -6.968797258904513e-02 -1.106960991556751e-01 -9.435834086048129e-01  9.982688464973242e-01 -1.692979643352932e-02  1.488954211709617e-01
  2.600000000000000e+00  3.000920903067877e-01  1.556877773663311e+00 -7.082569999026034e-02 -9.644289143933313e-02 -1.055131815171539e+00  9.942629439890699e-01 -6.135761131724315e-03  1.362689173548539e-01
  2.700000000000000e+00  1.887063039926082e-01  1.655742407252085e+00 -7.097356048532877e-02 -8.342185812487357e-02 -1.173750173304145e+00  9.814883648539675e-01  2.904341025279145e-03  1.242558171403610e-01
  2.800000000000000e+00  6.511210842734617e-02  1.752850563814438e+00 -7.029632119978690e-02 -7.157064858527490e-02 -1.299264112361119e+00  9.589654560914228e-01  1.039901195709214e-02  1.128748199031639e-01
  2.900000000000000e+00 -7.136782583144539e-02  1.847176115683254e+00 -6.893905184108440e-02 -6.082547303824321e-02 -1.431414136492964e+00  9.256593045893651e-01  1.653421485909490e-02  1.021362149516203e-01
  3.000000000000000e+00 -2.213802495986939e-01  1.937586785266043e+00 -6.702923330379873e-02 -5.112188404598669e-02 -1.569846632229404e+00  8.804823240578614e-01  2.147618686773334e-02  9.204305048030381e-02
  3.100000000000000e+00 -3.855314549772818e-01  2.022839041963734e+00 -6.467861056146007e-02 -4.239544724706495e-02 -1.714104430203820e+00  8.222976876260456e-01  2.537376189832796e-02  8.259218218184716e-02
  3.200000000000000e+00 -5.643764304845672e-01  2.101573388135251e+00 -6.198483303536673e-02 -3.458231272748491e-02 -1.863616953799321e+00  7.499236905461453e-01  2.836031407172901e-02  7.377521372356322e-02
  3.300000000000000e+00 -7.584070120727856e-01  2.172310131492460e+00 -5.903291605972516e-02 -2.761969730975278e-02 -2.017689996014582e+00  6.621391310522413e-01  3.055540421821989e-02  6.557933952585770e-02
  3.400000000000000e+00 -9.680389953149772e-01  2.233445750279041e+00 -5.589654988540604e-02 -2.144628706674223e-02 -2.175495175164222e+00  5.576898006337880e-01  3.206619156347229e-02  5.798809889846201e-02
  3.500000000000000e+00 -1.193598179589928e+00  2.283249966853914e+00 -5.263927724224149e-02 -1.600256851827009e-02 -2.336059130176373e+00  4.352961777184318e-01  3.298865769334325e-02  5.098204949828000e-02
  3.600000000000000e+00 -1.435305321718848e+00  2.319863654812664e+00 -4.931555635426821e-02 -1.123109621733742e-02 -2.498252527253529e+00  2.936624209212458e-01  3.340867875685874e-02  4.453936719615514e-02
